journal_title,normalized_title,issn,eissn,publisher,abdc_rating,abdc_for,ajg2024,ajg_field,in_ft50,in_utd24,in_hci_sjr_q1,is_preprint_platform,source_lists,obhrm_candidate,inclusion_reason,review_status
Journal of Experimental Psychology: general,journal of experimental psychology general,0096-3445,1939-2222,American Psychological Association,A*,3507,4,PSYCH (GENERAL),False,False,False,False,AJG2024_4;ABDC_A*,True,ABDC FoR 3507,needs_review
Journal of Experimental Social Psychology,journal of experimental social psychology,0022-1031,1096-0465,Elsevier,A,3507,4,PSYCH (GENERAL),False,False,False,False,AJG2024_4;ABDC_A,True,ABDC FoR 3507,needs_review
Journal of International Business Studies,journal of international business studies,0047-2506,1478-6990,Springer International Publishing,A*,3507,4*,IB&AREA,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507; FT50/UTD management-general journal,include_candidate
Journal of Management,journal of management,0149-2063,1557-1211,Sage Publications,A*,3507,4*,ETHICS-CSR-MAN,True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507,include_candidate
Journal of Management Studies,journal of management studies,0022-2380,1467-6486,Wiley-Blackwell Publishing,A*,3507,4,ETHICS-CSR-MAN,True,False,False,False,FT50;AJG2024_4;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507,include_candidate
Journal of Occupational and Organizational Psychology,journal of occupational and organizational psychology,0963-1798,2044-8325,Wiley-Blackwell Publishing,A*,3507,4,PSYCH (WOP-OB),False,False,False,False,AJG2024_4;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; AJG field PSYCH (WOP-OB); title keyword 'organizational',include_candidate
Journal of Occupational Health Psychology,journal of occupational health psychology,1076-8998,1939-1307,American Psychological Association,A,3507,4,PSYCH (WOP-OB),False,False,False,False,AJG2024_4;ABDC_A,True,manual core OBHRM title; ABDC FoR 3507; AJG field PSYCH (WOP-OB),include_candidate
Journal of Operations Management,journal of operations management,0272-6963,1873-1317,Wiley-Blackwell Publishing,A*,3507,4*,OPS&TECH,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507; broad-management/noise keyword needs human check,needs_review
Journal of Organizational Behavior,journal of organizational behavior,0894-3796,1099-1379,Wiley-Blackwell Publishing,A*,3507,4,PSYCH (WOP-OB),False,False,False,False,AJG2024_4;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; AJG field PSYCH (WOP-OB); title keyword 'organizational',include_candidate
Journal of Personality and Social Psychology,journal of personality and social psychology,0022-3514,1939-1315,American Psychological Association,A*,3507,4,PSYCH (GENERAL),False,False,False,False,AJG2024_4;ABDC_A*,True,ABDC FoR 3507,needs_review
